study;year;crop;cultivar;PL;PL_graph
Beyhan (2009);2003;Sweet cherry;0900 Ziraat;37,54672897;37,54672897
Beyhan (2009);2004;Sweet cherry;0900 Ziraat;-13,51706037;-13,51706037
Holzschuh (2012);2008;Sweet cherry;several;-5,771523969;-5,771523969
Radicevic (2016);2008;Sweet cherry;Karina;11,13;11,13
Radicevic (2016);2009;Sweet cherry;Karina;42,6;42,6
Radicevic (2016);2010;Sweet cherry;Karina;17,07;17,07
Radicevic (2016);2008;Sweet cherry;Kordia;9,56;9,56
Radicevic (2016);2009;Sweet cherry;Kordia;64,82;64,82
Radicevic (2016);2010;Sweet cherry;Kordia;-104,2417815;-100
Radicevic (2016);2008;Sweet cherry;Regina;2,17;2,17
Radicevic (2016);2009;Sweet cherry;Regina;17,82;17,82
Radicevic (2016);2010;Sweet cherry;Regina;32,32;32,32
Radicevic (2016);2008;Sweet cherry;Summit;-9,926587935;-9,926587935
Radicevic (2016);2009;Sweet cherry;Summit;-57,58577925;-57,58577925
Radicevic (2016);2010;Sweet cherry;Summit;33,49;33,49
Radunic (2017);NA;Sweet cherry;Gomilicka;54,87;54,87
Radunic (2017);NA;Sweet cherry;Gomilicka;48,95;48,95
Radunic (2017);NA;Sweet cherry;Stonska ;61,29;61,29
Radunic (2017);NA;Sweet cherry;Stonska ;18,84;18,84
Sutyemez (2011);2008;Sweet cherry;0900 Ziraat;6,88;6,88
Sutyemez (2011);2008;Sweet cherry;Lambert;-0,625558534;-0,625558534
Sutyemez (2011);2008;Sweet cherry;Sunburst;6,64;6,64
Sutyemez (2011);2008;Sweet cherry;Lapins;9,22;9,22
Ansari (2010);2005;Sour cherry;Cigány meggy;8,899789769;8,899789769
Ansari (2010);2005;Sour cherry;Érdi jubileum;-13,44537815;-13,44537815
Ansari (2010);2006;Sour cherry;Érdi bõtermõ;-42,46575342;-42,46575342
Ansari (2010);2006;Sour cherry;Cigány meggy;14,9825784;14,9825784
Ansari (2010);2006;Sour cherry;Érdi jubileum;-11,62361624;-11,62361624
Cerovic (1992);1984;Sour cherry;Cacanski Rubin;55,56;55,56
Cerovic (1992);1984;Sour cherry;Sumadinka;-1,886792453;-1,886792453
Cerovic (1992);1985;Sour cherry;Cacanski Rubin;-60,19417476;-60,19417476
Cerovic (1992);1985;Sour cherry;Sumadinka;-17,18377088;-17,18377088
Davarynejad (2010);2008;Sour cherry;Csengodi;5,94;5,94
Davarynejad (2010);2008;Sour cherry;Ujfehertoi furtos;-25,92496092;-25,92496092
Davarynejad (2010);2008;Sour cherry;Petri;-28,71443264;-28,71443264
Davarynejad (2010);2008;Sour cherry;Eva;45,13;45,13
Davarynejad (2010);2009;Sour cherry;Pandy 279;33,22;33,22
Davarynejad (2010);2009;Sour cherry;Csengodi;-77,45126147;-77,45126147
Davarynejad (2010);2009;Sour cherry;Ujfehertoi furtos;21,84;21,84
Davarynejad (2010);2009;Sour cherry;Petri;21,1;21,1
Davarynejad (2010);2009;Sour cherry;Eva;11,47;11,47
Radicevic (2021);2016;Sour cherry;Feketicka;38,35;38,35
Radicevic (2021);2017;Sour cherry;Feketicka;44,62;44,62
Osterman (2023);2020;Sweet cherry;Regina;30,55879779;30,55879779
Osterman (2023);2020;Sweet cherry;Regina;31,90110464;31,90110464
Osterman (2023);2020;Sweet cherry;Regina;54,90828307;54,90828307
Osterman (2023);2020;Sweet cherry;Regina;41,90037348;41,90037348
Osterman (2023);2020;Sweet cherry;Regina;-5,074875165;-5,074875165
Osterman (2023);2020;Sweet cherry;Regina;52,34507705;52,34507705
Osterman (2023);2020;Sweet cherry;Regina;53,24532316;53,24532316
Osterman (2023);2020;Sweet cherry;Regina;-88,62950638;-88,62950638
Osterman (2023);2020;Sweet cherry;Regina;45,91104364;45,91104364
Osterman (2023);2020;Sweet cherry;Regina;12,92557007;12,92557007
Osterman (2023);2020;Sweet cherry;Regina;16,19528616;16,19528616
Osterman (2023);2020;Sweet cherry;Regina;51,26923904;51,26923904
Osterman (2023);2020;Sweet cherry;Regina;20,02321302;20,02321302
Osterman (2023);2020;Sweet cherry;Regina;32,64360916;32,64360916
Osterman (2023);2020;Sweet cherry;Regina;12,97061929;12,97061929
Osterman (2023);2020;Sweet cherry;Regina;-43,63085888;-43,63085888
Osterman (2023);2020;Sweet cherry;Regina;-1,914555728;-1,914555728
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;62,89025;62,89025
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;75,8565;75,8565
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;47,239;47,239
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;18,462875;18,462875
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;45,622875;45,622875
