study;year;crop;cultivar;fs
Beyhan (2009);2003;Sweet cherry;0900 Ziraat;26.68
Beyhan (2009);2003;Sweet cherry;Turkoglu;40.36
Beyhan (2009);2003;Sweet cherry;Koroglu;53.63
Beyhan (2009);2003;Sweet cherry;Kargayuregi;50.01
Beyhan (2009);2003;Sweet cherry;Haci Ali;42.21
Beyhan (2009);2004;Sweet cherry;Turkoglu;8.92
Beyhan (2009);2004;Sweet cherry;Koroglu;30.71
Beyhan (2009);2004;Sweet cherry;Kargayuregi;14.55
Beyhan (2009);2004;Sweet cherry;Haci Ali;4.46
Beyhan (2009);2004;Sweet cherry;0900 Ziraat;17.32
Beyhan (2009);2004;Sweet cherry;Geçkiraz;38.59
Choi (2001);1995/1996;Sweet cherry;Lapins;54.5
Choi (2001);1995/1996;Sweet cherry;NY;70.9
Choi (2001);1995/1996;Sweet cherry;NY;44.4
Choi (2001);1995/1996;Sweet cherry;NY;47.4
Choi (2001);1995/1996;Sweet cherry;NY;43.5
Choi (2001);1995/1996;Sweet cherry;Starkrimson;45.9
Choi (2001);1995/1996;Sweet cherry;Stella;63.5
Holzschuh (2012);NA;Sweet cherry;Kordia, Regina;17.7
Lane (1979);NA;Sweet cherry;Stella;51.5
Lech (2008);NA;Sweet cherry;Van, Hedelfinger, Summit, Kordia, Regina;20.0
Mert (2007);NA;Sweet cherry;0900 Ziraat;13.4
Moghadam (2009);2003-2006;Sweet cherry;Siah Mashhad;17.45
Moghadam (2009);2003-2006;Sweet cherry;Napelon;13.62
Moghadam (2009);2003-2006;Sweet cherry;Peshras Mashhad;20.16
Moghadam (2009);NA;Sweet cherry;Zarde Daneshkadeh;41.58
Moghadam (2009);NA;Sweet cherry;Proteva;17.54
Moghadam (2009);NA;Sweet cherry;Dovoumras Mashhad;20.57
Moghadam (2009);NA;Sweet cherry;Dirras Italia;36.52
Moghadam (2009);NA;Sweet cherry;Bing;24.63
Moghadam (2009);NA;Sweet cherry;Sheshiy Mashhad;20.64
Moghadam (2009);NA;Sweet cherry;Hag Yusefy;18.27
Moghadam (2009);NA;Sweet cherry;Siah Ghazvin;25.17
Moghadam (2009);NA;Sweet cherry;Moreau;7.63
Moghadam (2009);NA;Sweet cherry;Ferracida;8.0
Moghadam (2009);NA;Sweet cherry;Lambert;10.8
Moghadam (2009);NA;Sweet cherry;Roshun;11.48
Moghadam (2009);NA;Sweet cherry;No. 1 karaj;33.85
Moghadam (2009);NA;Sweet cherry;Sefide Gh. Bagheno;19.39
Moghadam (2009);NA;Sweet cherry;Arak;16.48
Moghadam (2009);NA;Sweet cherry;Belamarka;18.68
Moghadam (2009);NA;Sweet cherry;Siah Shabestar;14.86
Moghadam (2009);NA;Sweet cherry;Ghermeze Rezaeyeh;18.7
Moghadam (2009);NA;Sweet cherry;Sefide Rezaeyeh;27.14
Moghadam (2009);NA;Sweet cherry;Abardeh;14.63
Moghadam (2009);NA;Sweet cherry;Soraty Lavisan;17.62
Moghadam (2009);NA;Sweet cherry;Victoria;19.71
Radicevic (2016);2008;Sweet cherry;Karina;45.92
Radicevic (2016);2009;Sweet cherry;Karina;24.0
Radicevic (2016);2010;Sweet cherry;Karina;47.27
Radicevic (2016);2008;Sweet cherry;Kordia;31.42
Radicevic (2016);2009;Sweet cherry;Kordia;1.97
Radicevic (2016);2010;Sweet cherry;Kordia;19.26
Radicevic (2016);2008;Sweet cherry;Regina;51.89
Radicevic (2016);2009;Sweet cherry;Regina;38.1
Radicevic (2016);2010;Sweet cherry;Regina;29.9
Radicevic (2016);2008;Sweet cherry;Summit;34.44
Radicevic (2016);2009;Sweet cherry;Summit;38.12
Radicevic (2016);2010;Sweet cherry;Summit;22.76
Radicevic (2017);NA;Sweet cherry;Gomilicka;17.6
Radicevic (2017);NA;Sweet cherry;Gomilicka;21.8
Radicevic (2017);NA;Sweet cherry;Stonska;18.0
Radicevic (2017);NA;Sweet cherry;Stonska;16.8
Sutyemez (2011);2008;Sweet cherry;0900 Ziraat;34.26
Sutyemez (2011);2008;Sweet cherry;Lambert;33.78
Sutyemez (2011);2008;Sweet cherry;Sunburst;36.8
Sutyemez (2011);2008;Sweet cherry;Lapins;33.56
Xu (2023);2019;Sweet cherry;Lapins;50.88
Xu (2023);2022;Sweet cherry;Lapins;43.82
Ansari (2010);2005;Sour cherry;Érdi bõtermõ;14.7
Ansari (2010);2005;Sour cherry;Cigány meggy;13.0
Ansari (2010);2005;Sour cherry;Érdi jubileum;13.5
Ansari (2010);2006;Sour cherry;Érdi bõtermõ;10.4
Ansari (2010);2006;Sour cherry;Cigány meggy;24.4
Ansari (2010);2006;Sour cherry;Érdi jubileum;12.15
Cerovic (1992);1984;Sour cherry;Cacanski Rubin;3.6
Cerovic (1992);1984;Sour cherry;Sumadinka;37.8
Cerovic (1992);1985;Sour cherry;Cacanski Rubin;33.0
Cerovic (1992);1985;Sour cherry;Sumadinka;49.1
Davarynejad (2010);NA;Sour cherry;Pandy 279;7.55
Davarynejad (2010);NA;Sour cherry;Csengodi;10.22
Davarynejad (2010);NA;Sour cherry;Ujfehertoi furtos;19.33
Davarynejad (2010);NA;Sour cherry;Petri;18.77
Davarynejad (2010);NA;Sour cherry;Eva;8.95
Davarynejad (2010);NA;Sour cherry;Pandy 279;10.19
Davarynejad (2010);NA;Sour cherry;Csengodi;24.76
Davarynejad (2010);NA;Sour cherry;Ujfehertoi furtos;23.5
Davarynejad (2010);NA;Sour cherry;Petri;27.0
Davarynejad (2010);NA;Sour cherry;Eva;15.6
Hansted (2015);2009;Sour cherry;Stevnsbaer;12.32
Hansted (2015);2010;Sour cherry;Stevnsbaer;2.17
Radicevic (2021);2016;Sour cherry;Feketicka;10.48
Radicevic (2021);2017;Sour cherry;Feketicka;9.11
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;16.3215300052917
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;13.5949811295417
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;23.025334796
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;16.7419153520417
Mateos-Fierro (2023);2019;Sweet cherry;Kordia;19.7576647230833
Osterman (2023);2020;Sweet cherry;Regina;20.9854497333333
Osterman (2023);2020;Sweet cherry;Regina;37.9691876705882
Osterman (2023);2020;Sweet cherry;Regina;21.38098911
Osterman (2023);2020;Sweet cherry;Regina;35.29552311
Osterman (2023);2020;Sweet cherry;Regina;20.04761904
Osterman (2023);2020;Sweet cherry;Regina;16.395562775
Osterman (2023);2020;Sweet cherry;Regina;20.218614715
Osterman (2023);2020;Sweet cherry;Regina;36.406787655
Osterman (2023);2020;Sweet cherry;Regina;26.271778805
Osterman (2023);2020;Sweet cherry;Regina;47.184523805
Osterman (2023);2020;Sweet cherry;Regina;11.9721019777778
Osterman (2023);2020;Sweet cherry;Regina;29.4473027
Osterman (2023);2020;Sweet cherry;Regina;20.710409375
Osterman (2023);2020;Sweet cherry;Regina;11.8053831
Osterman (2023);2020;Sweet cherry;Regina;39.25992063
Osterman (2023);2020;Sweet cherry;Regina;9.774877895
Osterman (2023);2020;Sweet cherry;Regina;69.301897895
